"","row_code","scientificName","year","lon","lat","presence","species","farming","flooded_forest","grassland","other_non_vegetated","urban","wetland","forest_formation","river_lake_ocean","not_observed","mangrove","non_forested_natural","savannah_formation","rocky_outcrop","mining","fold"
"31",31,"Bradypus tridactylus",2020,-52.50868,4.98305,1,"Bradypus tridactylus",0.0717407063987039,0.76674260988025,0.00213766040039063,0,0,0.0723885351451527,0.0563847128710415,0,0,0,0,0,0,0,1
"32",32,"Bradypus tridactylus",2020,-52.56832,5.092595,1,"Bradypus tridactylus",0.0689461120290827,0.613737292632696,0,0,0,0.0419126761412595,0,0,0,0.256496198704945,0,0,0,0,1
"33",33,"Bradypus tridactylus",2020,-53.446104,5.549099,1,"Bradypus tridactylus",0.0659580600973473,0.228743067580236,0.0245933591696999,0.00133485003662109,0,0.205472790831192,0.440060764968148,0,0,0,0,0,0,0,1
"34",34,"Bradypus tridactylus",2016,-52.33775,4.808608,1,"Bradypus tridactylus",0.106725205348877,0.524751960899247,0.0242130387290007,0,0.00119067142142502,0.103640695089096,0.247977686161883,0,0,0,0,0,0,0,1
"35",35,"Bradypus tridactylus",2019,-55.096916,5.648654,1,"Bradypus tridactylus",0.304719872281814,0.464457327021276,0.0401959525314032,0.0245541979277795,0,0.131634068089406,0,0.0528186119606711,0,0,0,0,0,0,5
"36",36,"Bradypus tridactylus",2018,-55.129589,5.790315,1,"Bradypus tridactylus",0.206948161847848,0.737813309795613,0,0.00841012239768288,0.0269285450938832,0,0,0,0,0,0,0,0,0,5
"37",37,"Bradypus tridactylus",2019,-58.788728,4.49864,1,"Bradypus tridactylus",0,0,0.0117489218694514,0,0,0,0.969702428215744,0,0,0,0,0,0,0,5
"38",38,"Bradypus tridactylus",2019,-59.93969,-3.003247,1,"Bradypus tridactylus",0,0,0,0,0.0337393200941443,0,0.943273655244059,0,0,0,0,0,0,0,4
"39",39,"Bradypus tridactylus",2019,-55.545681,5.836589,1,"Bradypus tridactylus",0.56747781203946,0.331769837019487,0,0.013119565071106,0.005336779296875,0.0569259856012518,0,0,0,0,0,0,0,0,5
"40",40,"Bradypus tridactylus",2019,-59.771525,-2.448927,1,"Bradypus tridactylus",0,0,0,0,0,0,0.97710086442991,0,0,0,0,0,0,0,4
"41",41,"Bradypus tridactylus",2019,-55.481414,5.770633,1,"Bradypus tridactylus",0.0655044106689453,0.889482334328004,0,0,0,0.0161568686117407,0.0043501292628868,0,0,0,0,0,0,0,5
"42",42,"Bradypus tridactylus",2019,-55.890198,5.779693,1,"Bradypus tridactylus",0.067811436967199,0.759666724381771,0,0.00362271763341567,0,0.00970419440806996,0,0.12914619259736,0,0.0114752359802246,0,0,0,0,5
"43",43,"Bradypus tridactylus",2019,-59.976764,-3.098266,1,"Bradypus tridactylus",0.0849688840553977,0,0,0,0.210109903891823,0.00576198876953125,0.667650617416865,0,0.000892701049804687,0,0,0,0,0,4
"44",44,"Bradypus tridactylus",2019,-52.255422,4.889341,1,"Bradypus tridactylus",0.0057902307434082,0.130867351900968,0,0.0128761911787553,0.0282628172108043,0.000890803939819336,0.684385272161315,0.0770951112060546,0,0,0,0,0,0,1
"45",45,"Bradypus tridactylus",2019,-57.246895,4.400736,1,"Bradypus tridactylus",0,0,0,0,0,0,0.940344723199367,0.0238249920321378,0,0,0,0,0,0,5
"46",46,"Bradypus tridactylus",2017,-55.133768,5.038977,1,"Bradypus tridactylus",0,0,0.014260602265699,0.00597232442698759,0,0,0.974565095926282,0.00979675036621094,0,0,0,0,0,0,5
"47",47,"Bradypus tridactylus",2018,-56.767088,3.477655,1,"Bradypus tridactylus",0,0,0,0,0,0,0.967636522623216,0,0,0,0,0,0,0,5
"48",48,"Bradypus tridactylus",2018,-55.33126,4.49734,1,"Bradypus tridactylus",0.000674584641400506,0,0.00841818209606162,0,0,0,0.750079238264115,0.232996577659153,0,0,0,0,0,0,5
"49",49,"Bradypus tridactylus",2018,-55.730405,5.842639,1,"Bradypus tridactylus",0.262303028212886,0.237696836658563,0.0474001221224916,0,0,0.0999108013794598,0.308468922851345,0,0,0.0344760981303876,0,0,0,0,5
