"","scientificName","year","lon","lat","presence","row_code"
"62","Myiornis ecaudatus",2021,-69.069239,-12.597893,0,124
"63","Myiozetetes luteiventris",2021,-69.526239,-12.858893,0,125
"64","Crypturellus atrocapillus",2021,-69.693239,-11.078893,0,126
"65","Cacicus oseryi",2019,-70.026239,-12.611893,0,127
"66","Aulacorhynchus atrogularis",2009,-71.376239,-12.861893,0,128
"67","Forpus modestus",2021,-69.171239,-12.516893,0,129
"68","Opisthocomus hoazin",2021,-71.297239,-12.667893,0,130
"69","Myrmelastes brunneiceps",2011,-71.385239,-12.849893,0,131
"70","Nannopsittaca dachilleae",2011,-69.311239,-12.816893,0,132
"71","Picumnus rufiventris",2018,-71.439239,-11.836893,0,133
"72","Tinamus guttatus",2022,-69.486239,-12.983893,0,134
"73","Crypturellus atrocapillus",2020,-71.363239,-12.874893,0,135
"74","Chloroceryle amazona",2022,-69.036239,-12.608893,0,136
"75","Turdus lawrencii",2021,-69.397239,-12.865893,0,137
"76","Syndactyla ucayalae",2014,-70.703239,-12.401893,0,138
"77","Pyrrhura rupicola",2019,-69.676239,-12.046893,0,139
"78","Ara macao",2022,-69.469239,-12.920893,0,140
"79","Crypturellus bartletti",2020,-69.213239,-12.618893,0,141
"80","Amazona farinosa",2022,-69.575239,-12.843893,0,142
"81","Trogon curucui",2022,-71.363239,-12.823893,0,143
"82","Inezia inornata",2021,-69.178239,-12.597893,0,144
"83","Drymophila devillei",2018,-71.401239,-12.874893,0,145
"84","Oneillornis salvini",2021,-69.763239,-12.857893,0,146
"85","Hemitriccus griseipectus",2021,-70.147239,-12.857893,0,147
"86","Cnipodectes superrufus",2010,-69.509239,-11.366893,0,148
"87","Monasa nigrifrons",2022,-69.529239,-12.933893,0,149
"88","Buteogallus schistaceus",2022,-69.496239,-12.873893,0,150
"89","Phaethornis philippii",2021,-70.014239,-11.240893,0,151
"90","Galbalcyrhynchus purusianus",2021,-69.192239,-12.596893,0,152
"91","Ara ararauna",2022,-69.457239,-12.839893,0,153
"92","Amazona farinosa",2022,-70.121239,-12.447893,0,154
"93","Brotogeris cyanoptera",2022,-69.168239,-12.759893,0,155
"94","Megascops watsonii",2021,-69.704239,-11.092893,0,156
"95","Poecilotriccus albifacies",2011,-71.119239,-12.431893,0,157
"96","Frederickena unduliger",2003,-71.242239,-12.659893,0,158
"97","Pipile cumanensis",2022,-69.513239,-12.964893,0,159
"98","Ara severus",2022,-69.472239,-12.902893,0,160
"99","Pyrrhura rupicola",2020,-68.839239,-12.483893,0,161
"100","Hypocnemis subflava",2021,-69.270239,-12.620893,0,162
"101","Frederickena unduliger",2019,-71.283239,-11.943893,0,163
"102","Phylloscartes parkeri",2014,-71.005239,-12.993893,0,164
"103","Platyrinchus platyrhynchos",2022,-69.476239,-12.863893,0,165
"104","Hoploxypterus cayanus",2021,-69.330239,-12.413893,0,166
"105","Chelidoptera tenebrosa",2021,-68.815239,-12.516893,0,167
"106","Dichrozona cincta",2019,-69.100239,-12.182893,0,168
"107","Lophotriccus eulophotes",2021,-69.269239,-11.575893,0,169
"108","Aulacorhynchus atrogularis",2019,-69.284239,-12.866893,0,170
"109","Dendrocincla merula",2021,-70.094239,-12.570893,0,171
"110","Sclerurus caudacutus",2018,-71.235239,-12.002893,0,172
"111","Muscisaxicola fluviatilis",2021,-69.283239,-12.644893,0,173
"112","Akletos goeldii",2021,-70.186239,-12.940893,0,174
"113","Philydor erythropterum",2020,-69.048239,-12.535893,0,175
"114","Hemitriccus griseipectus",2021,-69.190239,-11.556893,0,176
"115","Psophia leucoptera",2022,-69.785239,-13.112893,0,177
"116","Celeus spectabilis",2020,-69.228239,-12.713893,0,178
"117","Frederickena unduliger",2019,-69.233239,-12.745893,0,179
"118","Nannopsittaca dachilleae",2017,-70.726239,-12.360893,0,180
"119","Pilherodius pileatus",2022,-69.529239,-12.946893,0,181
"120","Vireolanius leucotis",2021,-70.149239,-11.296893,0,182
"121","Pionus menstruus",2022,-69.590239,-12.915893,0,183
"122","Pteroglossus castanotis",2022,-69.490239,-12.860893,0,184
"123","Galbula cyanescens",2021,-70.216239,-12.948893,0,185
"124","Pharomachrus pavoninus",2021,-70.138239,-12.866893,0,186
