"","row_code","scientificName","year","lon","lat","presence","bio1_mean_annual_temp","bio12_annual_precip","farming","forest_formation","other_non_vegetated","flooded_forest","river_lake_ocean","urban","non_forested_natural","grassland","wetland","mining","savannah_formation","mangrove","not_observed","glacier","fold"
"35",35,"Marmosops noctivagus",1992,-69.607,-13.142,1,24.4710584883827,2339.73216969682,0.038309028,0.397524781,0.202373407,0.013415742,0.328856855,0,0,0,0,0,0,0,0,0,3
"36",36,"Marmosops noctivagus",1992,-66.016667,-3.316667,1,25.8695836815952,3263.1466659672,0.037066427,0.816021206,0,0,0.006545151,0,0,0.06886142,0.055417288,0,0,0,0,0,3
"37",37,"Marmosops noctivagus",1992,-66.733,-10.767,1,25.4500007629395,1919.1404553172,0.430261093,0.422101292,0,0.121682403,0.006150557,0,0,0,0,0,0,0,0,0,3
"38",38,"Marmosops noctivagus",1992,-67.45,-16.083333,1,17.4072171670419,2016.73269314236,0,0.979683195,0,0,0,0,0,0,0,0,0,0,0,0,3
"39",39,"Marmosops noctivagus",1992,-67.433333,-16.083333,1,16.6165938122282,2023.16990881398,0.013863501,0.965930971,0,0,0,0,0,0,0,0,0,0,0,0,3
"40",40,"Marmosops noctivagus",1992,-67.51667,-15.73333,1,20.3986983201141,2259.96207682292,0.544967388,0.434913019,0,0,0.00775194,0.006311755,0.007223924,0,0,0,0,0,0,0,3
"41",41,"Marmosops noctivagus",1992,-67.75,-16.15,1,18.1341609091425,2336.90009424029,0.114548039,0.875806415,0,0,0,0,0.004727775,0,0,0,0,0,0,0,3
"42",42,"Marmosops noctivagus",1991,-70.083333,-6.833333,1,25.3500003814697,2366.39480464715,0,0.978180685,0,0,0,0,0,0,0,0,0,0,0,0,3
"43",43,"Marmosops noctivagus",1991,-70.85,-6.75,1,25.3518644625715,2495.7649270212,0,0.978345672,0,0,0,0,0,0,0,0,0,0,0,0,3
"44",44,"Marmosops noctivagus",1990,-69.05449,-12.6,1,25.0187313694599,2231.40344641819,0.006400287,0,0.002048979,0.983649739,0,0,0,0,0.004009339,0,0,0,0,0,3
"45",45,"Marmosops noctivagus",1990,-68.25,-13.88,1,22.2886767269166,1342.85568918275,0,0.9832319,0,0,0,0,0,0,0,0,0,0,0,0,3
"46",46,"Marmosops noctivagus",1990,-76.95,-1.1167,1,24.7095727205276,3515.59707132975,0.055984978,0.917373924,0,0,0,0,0,0,0,0,0,0,0,0,1
"47",47,"Marmosops noctivagus",1987,-72.067086,-13.101683,1,7.14351982171418,1617.81816826492,0.067962254,0.00319473,0,0,0,0,0.024610211,0.936098957,0,0,0,0,0,0,3
"48",48,"Marmosops noctivagus",1987,-72.050778,-13.114975,1,8.14970178957339,1522.85637498392,0.197637296,0.020288051,0,0,0,0,0.044177596,0.730103266,0,0,0,0,0,0,3
