system:index,area,class,row_code,year,.geo
0_000000000000000000ab_0_3,0.366311432028378,14,172,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005f_0_0,0.9786540445973099,3,96,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044_0_0,0.3358609573974614,3,69,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044_0_1,0.004454357482910156,12,69,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044_0_2,0.6253950415649413,14,69,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044_0_3,0.0044544058227539065,33,69,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ba_0_0,0.20386351957074328,3,187,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ba_0_1,0.22958262555649725,11,187,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ba_0_2,0.1357222955322264,12,187,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ba_0_3,0.009822015625000001,14,187,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ba_0_4,0.39049863226318354,33,187,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000071_0_0,0.9780595118401055,3,114,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b7_0_0,0.9544860361457377,3,184,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b7_0_1,0.009778451782226564,12,184,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000047_0_0,0.1855539920043946,3,72,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000047_0_1,0.592248573242188,13,72,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000047_0_2,0.20080521600341797,25,72,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000042_0_0,0.5311128412150063,3,67,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000042_0_1,0.03079688969319661,11,67,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000042_0_2,0.04646347552490237,12,67,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000042_0_3,0.36271320524495465,14,67,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009d_0_0,0.9790171133913536,14,158,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a6_0_0,0.9680608048095711,3,167,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000aa_0_0,0.968975934866152,3,171,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bf_0_0,0.8745905809730682,3,192,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bf_0_1,0.11572178480224614,14,192,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000077_0_0,0.981122319668397,3,120,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000077_0_1,0.0014625556453929228,14,120,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005a_0_0,0.9536826346066974,3,91,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005a_0_1,0.036469834071260344,14,91,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b9_0_0,0.967858963664937,6,186,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040_0_0,0.007151772277832031,3,65,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040_0_1,0.9626811136249664,6,65,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006b_0_0,0.9599416681121263,3,108,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006b_0_1,0.01765132023351333,33,108,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009f_0_0,0.9645825506924445,3,160,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009f_0_1,0.014819124721153112,14,160,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051_0_0,0.9347199262695278,12,82,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051_0_1,0.03996011572265625,25,82,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a9_0_0,0.9650971441501942,12,170,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a9_0_1,0.002388027866498162,25,170,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b4_0_0,0.9650971441501942,12,181,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b4_0_1,0.002388027866498162,25,181,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008d_0_0,0.9787694383061407,3,142,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000055_0_0,0.980911426343254,3,86,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005d_0_0,0.7068049867481888,3,94,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005d_0_1,0.26424796763772385,14,94,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007d_0_0,0.9685681667032878,3,126,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009a_0_0,0.9694675488817429,3,155,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c_0_0,0.015636493225097657,3,125,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c_0_1,0.14007434327464394,11,125,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c_0_2,0.8135730530108295,12,125,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000081_0_0,0.703074774030618,12,130,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000081_0_1,0.27879322426039777,25,130,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000085_0_0,0.9259337157564016,12,134,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000085_0_1,0.04291539961368335,25,134,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b0_0_0,0.9259337157564016,12,177,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b0_0_1,0.04291539961368335,25,177,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000065_0_0,0.9398837348632821,3,102,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000065_0_1,0.024803502746582027,33,102,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000074_0_0,0.9780595118401055,3,117,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004d_0_0,0.9706831150696995,3,78,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000067_0_0,0.9706831150696995,3,104,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008e_0_0,0.9578917260454949,3,143,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000053_0_0,0.42136919768090386,3,84,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000053_0_1,0.5610670867749984,6,84,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006c_0_0,0.33719082432526154,3,109,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006c_0_1,0.14041269691856229,6,109,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006c_0_2,0.45685787448179827,14,109,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006c_0_3,0.003517288260665595,25,109,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006c_0_4,0.035515675155340466,33,109,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000069_0_0,0.9694675488817429,3,106,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004e_0_0,0.9664813691645653,3,79,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000087_0_0,0.9788115070298168,3,136,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006e_0_0,0.9307215806441963,3,111,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006e_0_1,0.04896694010871438,14,111,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000052_0_0,0.9093942129217457,3,83,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000052_0_1,0.05492141694144454,12,83,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000052_0_2,0.012818967841892615,29,83,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000072_0_0,0.9756026956078623,3,115,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000043_0_0,0.4151485963134765,6,68,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000043_0_1,0.5550161659545876,11,68,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b6_0_0,0.8387564384205533,3,183,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b6_0_1,0.026627360068885948,12,183,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b6_0_2,7.727578874176625E-4,14,183,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b6_0_3,0.12422752037616804,33,183,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000048_0_0,0.978169189343739,3,73,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000062_0_0,0.08513153247070307,3,99,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000062_0_1,0.4541766678742064,4,99,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000062_0_2,0.01129327844238281,11,99,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000062_0_3,0.41002622894287116,12,99,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000062_0_4,0.00955554052734375,14,99,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000046_0_0,0.9674126374088063,3,71,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000061_0_0,0.9908347938620147,3,98,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bb_0_0,0.9578917260454949,3,188,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000093_0_0,0.9298748569434071,3,148,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000093_0_1,0.0479421599898993,14,148,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b2_0_0,0.9727052744743822,3,179,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007a_0_0,0.9903061818680161,3,123,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
