scientificName,year,lon,lat,presence,row_code
Pteronura brasiliensis,2018,-70.125721,-12.505637,0,116
Cheracebus lugens,2020,-67.868121,3.886863,0,117
Nasua nasua,2007,-50.313621,-9.600637,0,118
Canis familiaris,2017,-52.430121,-3.549937,0,119
Marmosops noctivagus,2003,-67.868121,-16.190837,0,120
Dasypus kappleri,2016,-76.549921,0.409163,0,121
Tamandua tetradactyla,2020,-55.941021,-9.633837,0,122
Cebuella pygmaea,2013,-76.209621,-0.429137,0,123
Cebus olivaceus,2010,-52.504821,2.691663,0,124
Sciurus ignitus,2015,-71.403921,-12.912337,0,125
Sus scrofa,2012,-51.774421,-3.093437,0,126
Cacajao calvus,2015,-74.059921,-5.732837,0,127
Leontocebus fuscicollis,2013,-75.545621,-2.819537,0,128
Tapirus terrestris,2020,-77.653821,-1.118037,0,129
Chiropotes albinasus,2012,-56.397521,-4.645537,0,130
Mazama rufina,2018,-78.558521,-1.259137,0,131
Leontocebus tripartitus,2018,-76.217921,-0.454037,0,132
Cavia tschudii,2019,-71.735921,-13.617837,0,133
Canis familiaris,2016,-49.085221,-5.334437,0,134
Coendou prehensilis,2020,-76.691021,1.048263,0,135
Sturnira tildae,2002,-59.916721,5.331063,0,136
Saimiri sciureus,2020,-55.135921,5.787563,0,137
Alouatta discolor,2019,-54.671121,-2.529037,0,138
Potos flavus,2019,-77.114321,0.641563,0,139
Lonchophylla thomasi,2010,-53.077521,3.031963,0,140
Choloepus didactylus,2014,-52.305621,4.874563,0,141
Phyllostomus elongatus,2003,-71.412221,-2.861037,0,142
Tapirus terrestris,2020,-77.496121,-1.051637,0,143
Leontocebus fuscicollis,2019,-75.396221,-0.620037,0,144
Saimiri cassiquiarensis,2020,-76.325821,-0.711337,0,145
Leontocebus fuscicollis,2013,-75.512421,-2.802937,0,146
Lagothrix flavicauda,2009,-77.811521,-5.699637,0,147
Procyon cancrivorus,2020,-77.521021,-1.084837,0,148
Cerdocyon thous,2011,-45.906321,-3.682737,0,149
Hylaeamys yunganus,2004,-59.817121,5.115263,0,150
Lagothrix lagothricha,2016,-76.068521,-0.794337,0,151
Saimiri boliviensis,2005,-68.806021,-12.472437,0,152
Mazama nemorivaga,2017,-51.874021,3.870263,0,153
Sturnira tildae,2017,-60.954221,-2.653537,0,154
Sciurus spadiceus,2007,-75.363021,-0.188437,0,155
Ateles belzebuth,2014,-74.159521,-10.090337,0,156
Marmosa murina,2005,-54.588121,4.816463,0,157
Canis familiaris,2017,-63.900721,-8.895137,0,158
Nasua nasua,2011,-48.271821,-1.217637,0,159
Isothrix negrensis,2013,-64.871821,-3.035337,0,160
Saimiri cassiquiarensis,2018,-73.205021,-4.213937,0,161
Choloepus didactylus,2019,-75.620321,-0.362737,0,162
Leontocebus fuscicollis,2013,-73.221621,-2.487537,0,163
Pithecia pithecia,2020,-55.194021,5.422363,0,164
Sciurus spadiceus,2020,-66.332621,-11.385137,0,165
Priodontes maximus,2010,-53.218621,2.442663,0,166
Leontocebus fuscus,2007,-76.292621,-6.463237,0,167
Speothos venaticus,2018,-74.690721,0.309563,0,168
Rhinophylla fischerae,2017,-58.796221,-3.923437,0,169
Atelocynus microtis,2018,-69.777121,-13.153037,0,170
Canis familiaris,2018,-54.073521,3.297563,0,171
Pteronura brasiliensis,2019,-74.591121,0.035663,0,172
Mazama nemorivaga,2017,-53.011121,5.173363,0,173
Cebus yuracus,2019,-75.761421,-0.221637,0,174
Pteronura brasiliensis,2015,-55.210621,3.065163,0,175
Noctilio albiventris,2018,-75.255121,1.737163,0,176
Saguinus mystax,2019,-73.661521,-7.450937,0,177
Saimiri sciureus,2015,-53.127321,5.447263,0,178
Cebus yuracus,2016,-77.678721,-1.109737,0,179
Lontra longicaudis,2020,-77.429721,-1.101437,0,180
