system:index,bio12_annual_precip,bio1_mean_annual_temp,presence,row_code,scientificName,species,year,.geo
000000000000000000a1,2329.327913411458,26.049999237060547,0,162,Cacajao calvus,background species,1964,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-62.204241466002834,-2.8409853931818874],[-62.19529071469083,-2.8409853931818874],[-62.19529071469083,-2.8319882563337915],[-62.204241466002834,-2.8319882563337915],[-62.204241466002834,-2.8409853931818874]]]}"
000000000000000000bd,2527.3118921810174,25.450000762939453,0,190,Cacajao hosomi,background species,1995,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-66.20423247549336,0.15901307264936992],[-66.1952926545072,0.15901307264936992],[-66.1952926545072,0.16801020950457987],[-66.20423247549336,0.16801020950457987],[-66.20423247549336,0.15901307264936992]]]}"
00000000000000000094,1919.9097910437565,25.25,0,149,Cavia tschudii,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-65.20438838673003,-14.840983715607189],[-65.19514027230946,-14.840983715607189],[-65.19514027230946,-14.831986578788326],[-65.20438838673003,-14.831986578788326],[-65.20438838673003,-14.840983715607189]]]}"
000000000000000000ab,977.0851783437176,12.610525777517273,0,172,Myotis oxyotus,background species,2018,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.20430136850227,-9.840984786188645],[-76.19522820036958,-9.840984786188645],[-76.19522820036958,-9.831987649357359],[-76.20430136850227,-9.831987649357359],[-76.20430136850227,-9.840984786188645]]]}"
0000000000000000005f,3312.5693764587654,25.570251646872876,0,96,Saguinus midas,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.20424547703563,4.159013999825072],[-52.19528203785234,4.159013999825072],[-52.19528203785234,4.168011136689777],[-52.20424547703563,4.168011136689777],[-52.20424547703563,4.159013999825072]]]}"
00000000000000000044,2194.7021757893544,26.137353461807695,0,69,Sapajus apella,background species,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-56.204250549578056,-4.840985856769725],[-56.19527881912989,-4.840985856769725],[-56.19527881912989,-4.83198871992639],[-56.204250549578056,-4.83198871992639],[-56.204250549578056,-4.840985856769725]]]}"
000000000000000000ba,3410.6968431908067,26.334443848162767,0,187,Sapajus apella,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-65.20423993184119,-2.840985393181888],[-65.19528918052919,-2.840985393181888],[-65.19528918052919,-2.8319882563337915],[-65.20423993184119,-2.8319882563337915],[-65.20423993184119,-2.840985393181888]]]}"
00000000000000000071,2145.3648251102177,25.338904392669807,0,114,Aotus nigriceps,background species,1996,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.20426627544363,-6.840986320357536],[-74.19526247176009,-6.840986320357536],[-74.19526247176009,-6.83198918351899],[-74.20426627544363,-6.83198918351899],[-74.20426627544363,-6.840986320357536]]]}"
000000000000000000b7,2022.756418061949,23.986259317991646,0,184,Cebus olivaceus,background species,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-63.20425993383748,6.159014463412893],[-63.195268173748175,6.159014463412893],[-63.195268173748175,6.168011600282376],[-63.20425993383748,6.168011600282376],[-63.20425993383748,6.159014463412893]]]}"
00000000000000000047,580.4981054189254,16.428374053020864,0,72,Graomys domorum,background species,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-65.2044870070248,-18.840984642782033],[-65.19504134585743,-18.840984642782033],[-65.19504134585743,-18.83198750597353],[-65.2044870070248,-18.83198750597353],[-65.2044870070248,-18.840984642782033]]]}"
00000000000000000042,1724.492389599812,27.169577934929936,0,67,Mico argentatus,background species,1912,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-54.20423642989895,-1.840982931837435],[-54.1952920507544,-1.840982931837435],[-54.1952920507544,-1.831985794986965],[-54.20423642989895,-1.831985794986965],[-54.20423642989895,-1.840982931837435]]]}"
0000000000000000009d,1804.4034226286956,26.912763579752436,0,158,Mico argentatus,background species,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-49.20427728186207,-7.840984322600899],[-49.19525322218025,-7.840984322600899],[-49.19525322218025,-7.831987185764762],[-49.20427728186207,-7.831987185764762],[-49.20427728186207,-7.840984322600899]]]}"
000000000000000000a6,2564.6942427385898,24.949854419439163,0,167,Nectomys rattus,background species,1982,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-59.204259006652286,6.159014463412892],[-59.19526724656298,6.159014463412892],[-59.19526724656298,6.168011600282375],[-59.204259006652286,6.168011600282375],[-59.204259006652286,6.159014463412892]]]}"
000000000000000000aa,2058.193349244684,25.75,0,171,Nectomys rattus,background species,2018,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-57.2042394095744,3.159015997581679],[-57.195285981445515,3.159015997581679],[-57.195285981445515,3.1680131344440063],[-57.2042394095744,3.1680131344440063],[-57.2042394095744,3.159015997581679]]]}"
000000000000000000bf,2174.0775485849977,25.83431138636165,0,192,Oecomys roberti,background species,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.20424369773492,-3.840983395425284],[-52.1952838339959,-3.840983395425284],[-52.1952838339959,-3.831986258579565],[-52.20424369773492,-3.831986258579565],[-52.20424369773492,-3.840983395425284]]]}"
000000000000000000b1,2520.0206577411827,18.5321582936647,0,178,Vicugna vicugna,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-79.20423553615484,-1.840982931837435],[-79.1952911570103,-1.840982931837435],[-79.1952911570103,-1.8319857949869651],[-79.20423553615484,-1.8319857949869651],[-79.20423553615484,-1.840982931837435]]]}"
00000000000000000077,1916.6142718782153,20.726450672856085,0,120,Akodon orophilus,background species,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.2043312757984,-11.840985249776327],[-74.19519727252656,-11.840985249776327],[-74.19519727252656,-11.83198811294996],[-74.2043312757984,-11.83198811294996],[-74.2043312757984,-11.840985249776327]]]}"
00000000000000000063,1303.3909314316486,3.4474438090383273,0,100,Akodon subfuscus,background species,1987,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.20438578199938,-14.840983715607189],[-73.1951376675788,-14.840983715607189],[-73.1951376675788,-14.83198657878833],[-73.20438578199938,-14.83198657878833],[-73.20438578199938,-14.840983715607189]]]}"
00000000000000000084,1303.3909314316486,3.4474438090383273,0,133,Akodon subfuscus,background species,1987,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.20438578199938,-14.840983715607189],[-73.1951376675788,-14.840983715607189],[-73.1951376675788,-14.83198657878833],[-73.20438578199938,-14.83198657878833],[-73.20438578199938,-14.840983715607189]]]}"
0000000000000000005a,3019.824771118164,24.66711654663086,0,91,Aotus vociferans,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-72.20423703007202,2.159013536237227],[-72.1952908686502,2.159013536237227],[-72.1952908686502,2.1680106730971787],[-72.20423703007202,2.1680106730971787],[-72.20423703007202,2.159013536237227]]]}"
000000000000000000b9,2471.329967151989,25.75,0,186,Aotus vociferans,background species,2013,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.20424872864878,-4.840985856769725],[-77.19527699820061,-4.840985856769725],[-77.19527699820061,-4.83198871992639],[-77.20424872864878,-4.83198871992639],[-77.20424872864878,-4.840985856769725]]]}"
00000000000000000040,3277.9611897448785,24.63694999821453,0,65,Ateles belzebuth,background species,1977,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.20423186851693,0.15901307264936995],[-73.19529204753078,0.15901307264936995],[-73.19529204753078,0.16801020950457987],[-73.20423186851693,0.16801020950457987],[-73.20423186851693,0.15901307264936995]]]}"
0000000000000000006b,2150.2964859958506,23.45213732580921,0,108,Ateles belzebuth,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.204264741282,-6.840986320357536],[-77.19526093759845,-6.840986320357536],[-77.19526093759845,-6.83198918351899],[-77.204264741282,-6.83198918351899],[-77.204264741282,-6.840986320357536]]]}"
0000000000000000009f,1391.0583617155219,23.71202340401894,0,160,Ateles belzebuth,background species,2018,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-68.20436630350432,-13.840985713363944],[-68.19515935081579,-13.840985713363944],[-68.19515935081579,-13.83198857654256],[-68.20436630350432,-13.83198857654256],[-68.20436630350432,-13.840985713363944]]]}"
00000000000000000051,1514.7884280357835,5.5215765164222255,0,82,Calomys sorellus,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-72.20436723068951,-13.840985713363944],[-72.195160278001,-13.840985713363944],[-72.195160278001,-13.83198857654256],[-72.20436723068951,-13.83198857654256],[-72.20436723068951,-13.840985713363944]]]}"
000000000000000000a9,1383.1681008260762,5.755812486664194,0,170,Calomys sorellus,background species,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.20436769428211,-13.840985713363942],[-74.1951607415936,-13.840985713363942],[-74.1951607415936,-13.831988576542559],[-74.20436769428211,-13.831988576542559],[-74.20436769428211,-13.840985713363942]]]}"
