row_code,farming,forest_formation,other_non_vegetated,flooded_forest,river_lake_ocean,urban,non_forested_natural,grassland,wetland,mining,savannah_formation,mangrove,not_observed,glacier
75,0.617785157,0.324534171,0.000893811,0,0.030958319,0,0,0,0,0,0,0,0,0
76,0.064553021,0.297351727,0,0,0.586467793,0.023639254,0,0,0,0,0,0,0,0
77,0,0.987244731,0,0,0,0,0,0,0,0,0,0,0,0
78,0.742428674,0.007008658,0.019489617,0.121041263,0.09236329,0,0,0,0.030902021,0,0,0,0,0
79,0,0,0,0.975678738,0,0,0,0,0,0,0,0,0,0
80,0,0.977183919,0.001741556,0,0.010544298,0,0,0,0,0,0,0,0,0
81,0.19192813,0.021446421,0.016407028,0.62795287,0.123804234,0,0,0,0,0,0,0,0,0
82,0.038195903,0.000893947,0,0.831451237,0.10369774,0,0,0,0,0,0,0,0,0
83,0.006215353,0.984628683,0,0,0,0,0,0,0,0,0,0,0,0
84,0.009572859,0.947878385,0,0,0,0,0.013765933,0,0,0,0,0,0,0
85,0.442734935,0.529650259,0,0,0,0,0,0,0,0,0,0,0,0
86,0.41943437,0.002170774,0.017851702,0,0,0.543775173,0,0,0,0,0,0,0,0
87,0.17119214,0.799831618,0,0,0,0,0,0,0,0,0,0,0,0
88,0.068002742,0.91404199,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0.664404125,0,0.302168602,0,0,0,0,0,0,0,0,0,0
90,0,0.9646019,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0.976327089,0,0,0,0,0,0,0,0,0,0,0,0
92,0.479467003,0.396447452,0.004826639,0,0.100468424,0,0,0,0,0,0,0,0,0
93,0,0.89345031,0,0,0.078922485,0,0,0,0,0,0,0,0,0
94,0.091039393,0.072901419,0,0.817571406,0.003072047,0,0,0.003898947,0,0,0,0,0,0
95,0.268901549,0.342031408,0.02911668,0,0.322322148,0,0,0,0,0,0,0,0,0
96,0.012515295,0.626978052,0,0.338481892,0.010402322,0,0,0,0,0,0,0,0,0
97,0.027411245,0.462674798,0,0,0.457326841,0,0,0.013058953,0.009010391,0,0,0,0,0
98,0,0.965605573,0,0,0,0,0,0,0,0,0,0,0,0
99,0.238590412,0.327944596,0.133424722,0.246902227,0.036131499,0,0,0,0.001746641,0,0,0,0,0
100,0.28986891,0.689195165,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0.972862276,0,0,0,0,0,0,0,0,0,0,0,0
102,0.225823522,0.091910515,0.01014538,0,0.010255064,0,0.646451057,0,0,0,0,0,0,0
103,0.398999401,0.556962985,0,0,0.005647072,0.009411543,0,0,0,0,0,0,0,0
104,0,0.967753459,0,0,0,0,0,0,0,0,0,0,0,0
105,0.25903808,0,0.006938334,0,0.011491935,0.701434852,0,0,0,0,0,0,0,0
106,0.08567003,0.030653935,0.007337112,0.851997602,0.010130544,0,0,0,0,0,0,0,0,0
107,0.472556701,0.182053066,0.008541204,0.022679812,0.276305868,0.024804135,0,0,0,0,0,0,0,0
108,0,0.970232074,0,0,0,0,0,0,0,0,0,0,0,0
109,0.898085662,0,0.030723272,0,0,0.028863697,0,0.010833976,0,0,0,0,0,0
110,0.312084119,0.588831934,0,0,0,0,0.089556389,0,0,0,0,0,0,0
111,0,0.973487718,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0.978981583,0,0,0,0,0,0,0,0,0,0,0,0
