system:index,area,class,row_code,year,.geo
0_000000000000000000ec_0_0,0.7147087766524983,3,237,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ec_0_1,0.0026044662475585936,13,237,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ec_0_2,0.2289937392994602,14,237,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ec_0_3,0.02320244338809743,25,237,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ec_0_4,0.01238941321806066,33,237,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000018a_0_0,0.9722306432365865,3,395,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015e_0_0,0.8763636606679839,12,351,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015e_0_1,0.04612403594970702,14,351,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015e_0_2,0.04771425720382388,25,351,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000018b_0_0,0.9667408732910195,14,396,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c8_0_0,0.06637111941205194,3,201,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c8_0_1,0.9095685147389106,6,201,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c8_0_2,6.872276666379443E-4,33,201,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cb_0_0,0.031202676002652047,6,204,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cb_0_1,0.9099796187526319,12,204,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cb_0_2,0.028532098156498924,14,204,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000137_0_0,0.9668383743341188,3,312,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000160_0_0,0.15538784100341813,3,353,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000160_0_1,0.04733073858642583,11,353,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000160_0_2,0.7664426178801925,12,353,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001cf_0_0,0.9776093252269048,3,464,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017e_0_0,0.9776093252269048,3,383,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cd_0_0,0.7198907074814754,3,206,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cd_0_1,0.19851227356100676,13,206,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cd_0_2,0.04767565766098916,29,206,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f0_0_0,0.974355056685378,3,241,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f0_0_1,0.002358314768592984,13,241,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000124_0_0,0.08537787139892576,3,293,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000124_0_1,0.25030488295898456,12,293,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000124_0_2,0.10703650371955416,13,293,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000124_0_3,0.5219892837309,14,293,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000118_0_0,0.11169092634349145,3,281,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000118_0_1,0.7307962695384289,14,281,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000118_0_2,0.033963657836914046,24,281,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000118_0_3,0.0804401992797851,25,281,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000118_0_4,0.01608803900146484,33,281,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a7_0_0,0.03663996325683593,3,424,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a7_0_1,0.9365538783569379,14,424,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000134_0_0,0.05619886938476559,3,309,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000134_0_1,0.8563014130040784,6,309,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000134_0_2,0.049576930841423485,14,309,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000134_0_3,0.009434743768669575,25,309,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000134_0_4,0.011355276716164979,33,309,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b3_0_0,0.9890973182126548,3,436,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f7_0_0,0.015977440885416666,3,248,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f7_0_1,0.04553723498535155,11,248,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f7_0_2,0.905408206830676,12,248,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001bc_0_0,0.4348332267456066,3,445,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001bc_0_1,0.01785763885498047,11,445,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001bc_0_2,0.5196559491577137,12,445,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000013c_0_0,0.5559233368580524,3,317,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000013c_0_1,0.2653622342069741,6,317,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000013c_0_2,0.13823311917293762,14,317,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012e_0_0,0.8927907167470951,6,303,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012e_0_1,0.0843951684642118,11,303,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000136_0_0,0.965642439654178,3,311,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000169_0_0,0.94130986803002,3,362,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000169_0_1,0.023178876953124993,14,362,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017f_0_0,0.5989780846160286,3,384,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017f_0_1,0.37404000354315,13,384,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a6_0_0,0.41454121415321593,3,423,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a6_0_1,0.017688728454589842,13,423,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a6_0_2,0.517231674827666,14,423,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a6_0_3,0.0013146819027171415,24,423,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a6_0_4,0.010108070251464846,25,423,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a6_0_5,0.005896375244140625,33,423,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b2_0_0,0.9903116387281217,3,435,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000014d_0_0,0.952884984317555,12,334,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000014d_0_1,0.021754472045898445,14,334,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000115_0_0,0.9626560535421959,12,278,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000115_0_1,0.015593978576660155,25,278,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001cb_0_0,0.9766653040793003,3,460,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d2_0_0,0.14541444663253464,3,211,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d2_0_1,0.5297135005158101,14,211,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d2_0_2,0.2966383619336899,25,211,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000dc_0_0,0.8295534807516655,3,221,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000dc_0_1,0.13491083019349337,12,221,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000dc_0_2,0.012197962646484378,13,221,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000128_0_0,0.7544502222287588,3,297,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000128_0_1,0.22108266459769502,13,297,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000178_0_0,0.8697853379784644,3,377,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000178_0_1,0.11012906693234906,14,377,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015b_0_0,0.48626312920616005,3,348,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015b_0_1,0.5023801462945685,14,348,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000191_0_0,0.8452033400613295,3,402,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000191_0_1,0.12196250605372999,13,402,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000013e_0_0,0.9824337498200048,3,319,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017d_0_0,0.1741874206406537,3,382,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017d_0_1,0.1841383703314092,6,382,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017d_0_2,0.00178516552734375,11,382,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017d_0_3,0.030347853637695304,14,382,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017d_0_4,0.026777489868164056,25,382,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017d_0_5,0.5512076207361577,33,382,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b0_0_0,0.07600561835698141,3,433,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b0_0_1,0.7068496545015209,6,433,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b0_0_2,0.1871421350923427,11,433,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000170_0_0,0.8938268673110067,3,369,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000170_0_1,0.08922119763183589,14,369,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001cc_0_0,0.8515925265675269,3,461,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001cc_0_1,0.12635715118408206,14,461,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000139_0_0,0.7988590207797205,6,314,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000139_0_1,0.19130303016405326,11,314,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a3_0_0,6.686345894607843E-4,3,420,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a3_0_1,0.6757329417930438,14,420,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a3_0_2,0.28833627923583927,24,420,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a0_0_0,0.022324596615062038,3,417,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a0_0_1,0.2565321071262738,6,417,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a0_0_2,0.6749423055381591,12,417,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a0_0_3,0.024523737027755423,14,417,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000147_0_0,0.28614000970458997,3,328,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000147_0_1,0.005124833129882812,12,328,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000147_0_2,0.6670947612914999,14,328,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001be_0_0,0.2783404946676818,3,447,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001be_0_1,0.7015110905086755,14,447,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000195_0_0,0.837310189449294,13,406,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000195_0_1,0.10468462094726566,14,406,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000195_0_2,0.049612875804946034,25,406,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b1_0_0,0.300255147504739,3,434,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b1_0_1,0.020227848865464155,11,434,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b1_0_2,0.5655307667372728,12,434,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b1_0_3,0.09475222584037031,33,434,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f8_0_0,0.7719350979042164,3,249,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
