scientificName,year,lon,lat,presence,row_code,species
Nasua nasua,2022,-77.1997710,0.1635130,0,81,background species
Calomys sorellus,2022,-72.1997710,-13.8364870,0,82,background species
Chiropotes satanas,1990,-67.1997710,5.1635130,0,83,background species
Pithecia pithecia,2013,-74.1997710,-0.8364870,0,84,background species
Akodon torques,2022,-72.1997710,-12.8364870,0,85,background species
Neacomys guianae,1976,-57.1997710,-0.8364870,0,86,background species
Myotis keaysi,2018,-76.1997710,-9.8364870,0,87,background species
Dasyprocta leporina,2022,-61.1997710,1.1635130,0,88,background species
Microsciurus flaviventer,2022,-75.1997710,1.1635130,0,89,background species
Ateles chamek,2022,-55.1997710,-11.8364870,0,90,background species
Aotus vociferans,2022,-72.1997710,2.1635130,0,91,background species
Pteronura brasiliensis,2022,-71.1997710,-11.8364870,0,92,background species
Bradypus tridactylus,2012,-53.1997710,2.1635130,0,93,background species
Oecomys phaeotis,2022,-70.1997710,-12.8364870,0,94,background species
Oligoryzomys destructor,2022,-71.1997710,-12.8364870,0,95,background species
Saguinus midas,2022,-52.1997710,4.1635130,0,96,background species
Nyctinomops laticaudatus,1990,-70.1997710,2.1635130,0,97,background species
Saguinus imperator,2022,-72.1997710,-11.8364870,0,98,background species
Necromys lenguarum,2000,-60.1997710,-13.8364870,0,99,background species
Akodon subfuscus,1987,-73.1997710,-14.8364870,0,100,background species
Akodon aerosus,2015,-70.1997710,-13.8364870,0,101,background species
Ateles marginatus,1957,-57.1997710,-7.8364870,0,102,background species
Procyon cancrivorus,2022,-61.1997710,3.1635130,0,103,background species
Mazama nemorivaga,2015,-53.1997710,1.1635130,0,104,background species
Plecturocebus toppini,2022,-68.1997710,-9.8364870,0,105,background species
Saguinus martinsi,2008,-57.1997710,-1.8364870,0,106,background species
Dasyprocta variegata,2022,-66.1997710,-13.8364870,0,107,background species
Ateles belzebuth,2022,-77.1997710,-6.8364870,0,108,background species
Platyrrhinus masu,2018,-76.1997710,-8.8364870,0,109,background species
Rhynchonycteris naso,2019,-58.1997710,-4.8364870,0,110,background species
Cheracebus lucifer,2022,-70.1997710,-3.8364870,0,111,background species
Philander andersoni,2019,-75.1997710,-5.8364870,0,112,background species
Holochilus sciureus,2022,-48.1997710,-1.8364870,0,113,background species
Aotus nigriceps,1996,-74.1997710,-6.8364870,0,114,background species
Chiropotes satanas,2015,-46.1997710,-3.8364870,0,115,background species
Lagidium viscacia,2022,-68.1997710,-16.8364870,0,116,background species
Ateles marginatus,2019,-56.1997710,-6.8364870,0,117,background species
Dasyprocta leporina,2020,-62.1997710,-1.8364870,0,118,background species
Myrmecophaga tridactyla,2022,-64.1997710,-11.8364870,0,119,background species
Akodon orophilus,2015,-74.1997710,-11.8364870,0,120,background species
Ateles chamek,1996,-74.1997710,-6.8364870,0,121,background species
Pygoderma bilabiatum,2019,-62.1997710,-16.8364870,0,122,background species
Tonatia saurophila,2022,-58.1997710,5.1635130,0,123,background species
Oligoryzomys flavescens,2022,-65.1997710,-16.8364870,0,124,background species
Abrothrix jelskii,2015,-70.1997710,-13.8364870,0,125,background species
Saimiri collinsi,1982,-56.1997710,-2.8364870,0,126,background species
Platyrrhinus infuscus,2022,-65.1997710,-16.8364870,0,127,background species
Myotis simus,2012,-75.1997710,-7.8364870,0,128,background species
Holochilus brasiliensis,2018,-63.1997710,-15.8364870,0,129,background species
Abrothrix jelskii,1987,-72.1997710,-14.8364870,0,130,background species
Lagothrix flavicauda,2019,-77.1997710,-8.8364870,0,131,background species
Marmosops noctivagus,2013,-57.1997710,-5.8364870,0,132,background species
Akodon subfuscus,1987,-73.1997710,-14.8364870,0,133,background species
Akodon albiventer,1983,-66.1997710,-18.8364870,0,134,background species
Marmosops ocellatus,2022,-61.1997710,-17.8364870,0,135,background species
Alouatta nigerrima,2019,-58.1997710,-4.8364870,0,136,background species
Diclidurus scutatus,2022,-62.1997710,4.1635130,0,137,background species
Oxymycterus paramensis,1901,-66.1997710,-15.8364870,0,138,background species
Cebuella niveiventris,2012,-67.1997710,-5.8364870,0,139,background species
Platyrrhinus brachycephalus,1991,-59.1997710,7.1635130,0,140,background species
Sphaeronycteris toxophyllum,1965,-67.1997710,1.1635130,0,141,background species
Dasypus kappleri,2020,-58.1997710,4.1635130,0,142,background species
Pithecia irrorata,2021,-59.1997710,-9.8364870,0,143,background species
Akodon mollis,2021,-78.1997710,-2.8364870,0,144,background species
Plecturocebus brunneus,2016,-62.1997710,-9.8364870,0,145,background species
Proechimys oconnelli,2022,-73.1997710,3.1635130,0,146,background species
Coendou prehensilis,2022,-57.1997710,-9.8364870,0,147,background species
Tapirus terrestris,2022,-47.1997710,-3.8364870,0,148,background species
Cavia tschudii,2022,-65.1997710,-14.8364870,0,149,background species
Panthera onca,2021,-64.1997710,-3.8364870,0,150,background species
Alouatta macconnelli,2022,-62.1997710,4.1635130,0,151,background species
Mico rondoni,2017,-62.1997710,-8.8364870,0,152,background species
Rhipidomys leucodactylus,2021,-77.1997710,-1.8364870,0,153,background species
Nasua nasua,2022,-79.1997710,-3.8364870,0,154,background species
Saimiri collinsi,2008,-57.1997710,-1.8364870,0,155,background species
Euryoryzomys nitidus,2021,-68.1997710,-14.8364870,0,156,background species
Leontocebus weddelli,2011,-71.1997710,-7.8364870,0,157,background species
Mico argentatus,2021,-49.1997710,-7.8364870,0,158,background species
Rhipidomys mastacalis,2020,-58.1997710,4.1635130,0,159,background species
Ateles belzebuth,2018,-68.1997710,-13.8364870,0,160,background species
Akodon dayi,2018,-63.1997710,-15.8364870,0,161,background species
Cacajao calvus,1964,-62.1997710,-2.8364870,0,162,background species
Akodon mollis,2022,-77.1997710,-9.8364870,0,163,background species
Herpailurus yagouaroundi,2019,-61.1997710,-18.8364870,0,164,background species
Ateles chamek,2021,-61.1997710,-11.8364870,0,165,background species
Trinycteris nicefori,1968,-62.1997710,7.1635130,0,166,background species
Nectomys rattus,1982,-59.1997710,6.1635130,0,167,background species
Akodon dayi,1985,-64.1997710,-15.8364870,0,168,background species
Anoura peruana,2022,-73.1997710,-12.8364870,0,169,background species
Calomys sorellus,2021,-74.1997710,-13.8364870,0,170,background species
Nectomys rattus,2018,-57.1997710,3.1635130,0,171,background species
Myotis oxyotus,2018,-76.1997710,-9.8364870,0,172,background species
Euryoryzomys nitidus,2019,-67.1997710,-10.8364870,0,173,background species
Euphractus sexcinctus,1972,-51.1997710,1.1635130,0,174,background species
Rhinophylla pumilio,2016,-69.1997710,4.1635130,0,175,background species
Alouatta macconnelli,2021,-59.1997710,-1.8364870,0,176,background species
Akodon albiventer,1983,-66.1997710,-18.8364870,0,177,background species
Vicugna vicugna,2022,-79.1997710,-1.8364870,0,178,background species
Tapirus terrestris,2022,-71.1997710,-1.8364870,0,179,background species
Lagothrix lagothricha,2019,-59.1997710,-8.8364870,0,180,background species
Calomys sorellus,2021,-74.1997710,-13.8364870,0,181,background species
Cacajao melanocephalus,1820,-69.1997710,-2.8364870,0,182,background species
