system:index,area,class,territory,year,.geo
0_35_1,0.013964978393554687,14,38,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36_0,0.0026187301025390624,6,39,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36_1,0.01134784729003906,14,39,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37_0,0.008734070861816406,3,40,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38_0,0.011360341369628903,3,41,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38_1,0.00611710888671875,14,41,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39_0,0.009607262451171873,3,42,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39_1,0.004366944580078125,14,42,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_40_0,0.013986247802734372,3,43,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41_0,0.010478772827148437,6,44,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_42_0,0.013971806152343752,6,45,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_43_0,0.017447216186523437,6,46,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44_0,0.006117127136230469,3,47,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44_1,0.002621624084472656,14,47,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_45_0,8.740250244140625E-4,3,48,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_45_1,0.013110354614257812,14,48,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_46_0,0.017444561157226566,3,49,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_47_0,0.006124920959472656,3,50,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_47_1,0.011374861755371097,6,50,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_48_0,0.013967093749999998,6,51,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_49_0,0.017469024902343748,3,52,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_50_0,0.017459547424316404,6,53,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_51_0,0.017464659912109375,6,54,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_52_0,0.006105729858398438,3,55,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_52_1,8.72245849609375E-4,33,55,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_53_0,0.012228345825195311,3,56,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_53_1,0.0017469095458984374,6,56,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_54_0,0.00349191845703125,3,57,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_55_0,0.01569953338623047,3,58,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_55_1,0.0017443905639648438,33,58,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_56_0,0.021802703857421883,3,59,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_57_0,0.017496395263671874,3,60,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_58_0,0.01662117474365234,3,61,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_59_0,0.008720769958496093,3,62,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_60_0,0.006969526000976562,3,63,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_61_0,0.017461299743652348,6,64,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_62_0,0.017441843872070314,3,65,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_63_0,0.017484625976562505,3,66,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_64_0,0.012249642822265625,3,67,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_64_1,0.001749951904296875,33,67,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_65_0,0.017456840515136712,6,68,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_66_0,0.013080120849609377,3,69,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_66_1,8.72008544921875E-4,25,69,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
