system:index,bio12_annual_precip,bio1_mean_annual_temp,presence,row_code,scientificName,year,.geo
00000000000000000076,3353.815804509206,25.495005334561295,0,119,Nectomys rattus,1972,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-51.1729845561204,1.9982674023619384],[-51.164039307564224,1.9982674023619384],[-51.164039307564224,2.007264539221508],[-51.1729845561204,2.007264539221508],[-51.1729845561204,1.9982674023619384]]]}"
000000000000000000b2,2149.680922385568,26.25,0,179,Caluromys philander,1973,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-55.18190631386195,5.82456404800104],[-55.17292006523529,5.82456404800104],[-55.17292006523529,5.833561184869721],[-55.18190631386195,5.833561184869721],[-55.18190631386195,5.82456404800104]]]}"
00000000000000000099,1343.395717510049,24.342631985043095,0,154,Eptesicus andinus,1974,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-78.38870891652782,-5.80373252881271],[-78.37972314228077,-5.80373252881271],[-78.37972314228077,-5.794735391971677],[-78.38870891652782,-5.794735391971677],[-78.38870891652782,-5.80373252881271]]]}"
000000000000000000bb,3574.994034256678,25.550128264051256,0,188,Dermanura anderseni,1974,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-72.9355923795048,-3.429934542117512],[-72.92663659391837,-3.429934542117512],[-72.92663659391837,-3.420937405270816],[-72.9355923795048,-3.420937405270816],[-72.9355923795048,-3.429934542117512]]]}"
0000000000000000006a,2504.539030216942,25.84248161315918,0,107,Proechimys brevicauda,1979,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.7578947096694,-4.0275343470967995],[-77.74893284165566,-4.0275343470967995],[-77.74893284165566,-4.018537210251527],[-77.7578947096694,-4.018537210251527],[-77.7578947096694,-4.0275343470967995]]]}"
000000000000000000d9,2514.140622965495,25.759122037887572,0,218,Euryoryzomys macconnelli,1979,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.74959636823473,-4.0358327341572435],[-77.74063440883629,-4.0358327341572435],[-77.74063440883629,-4.026835597311989],[-77.74959636823473,-4.026835597311989],[-77.74959636823473,-4.0358327341572435]]]}"
00000000000000000081,3170.818114221343,25.378339735798814,0,130,Cyclopes didactylus,1983,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.25099176292272,-3.0315361584983367],[-73.24203948692787,-3.0315361584983367],[-73.24203948692787,-3.0225390216506938],[-73.25099176292272,-3.0225390216506938],[-73.25099176292272,-3.0315361584983367]]]}"
000000000000000000b3,1126.6681718669954,24.850000381469727,0,180,Akodon toba,1984,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-62.00471800728108,-18.25373441134792],[-61.99530476445856,-18.25373441134792],[-61.99530476445856,-18.244737274537865],[-62.00471800728108,-18.244737274537865],[-62.00471800728108,-18.25373441134792]]]}"
00000000000000000093,1953.6323071389531,25.25,0,148,Eumops bonariensis,1985,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-65.90562978056776,-14.56853710034339],[-65.8963931960309,-14.56853710034339],[-65.8963931960309,-14.559539963523841],[-65.90562978056776,-14.559539963523841],[-65.90562978056776,-14.56853710034339]]]}"
00000000000000000095,1896.2173469449265,25.350000381469727,0,150,Eumops patagonicus,1985,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-65.08393339304509,-14.56853710034339],[-65.07469680850822,-14.56853710034339],[-65.07469680850822,-14.559539963523841],[-65.08393339304509,-14.559539963523841],[-65.08393339304509,-14.56853710034339]]]}"
000000000000000000c7,1124.6933783083543,25.036829936747647,0,200,Uroderma magnirostrum,1985,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-61.05849551119666,-17.3573347038792],[-61.049129437638555,-17.3573347038792],[-61.049129437638555,-17.3483375670668],[-61.05849551119666,-17.3483375670668],[-61.05849551119666,-17.3573347038792]]]}"
000000000000000000cf,1692.3968546047133,23.850000381469727,0,208,Holochilus brasiliensis,1985,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-63.0007005084725,-17.490135651452583],[-62.991327621272816,-17.490135651452583],[-62.991327621272816,-17.481138514640527],[-63.0007005084725,-17.481138514640527],[-63.0007005084725,-17.490135651452583]]]}"
000000000000000000c3,1961.0085681253227,25.34949883547696,0,196,Monodelphis glirina,1986,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-68.24618354588463,-12.13663702692222],[-68.23703953225323,-12.13663702692222],[-68.23703953225323,-12.127639890096583],[-68.24618354588463,-12.127639890096583],[-68.24618354588463,-12.13663702692222]]]}"
000000000000000000c9,1895.3798124839252,24.87912762017898,0,202,Platyrrhinus lineatus,1986,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-60.88413214006474,-14.502136626556696],[-60.87489832960243,-14.502136626556696],[-60.87489832960243,-14.49313948973698],[-60.88413214006474,-14.49313948973698],[-60.88413214006474,-14.502136626556696]]]}"
