"","row_code","farming","forest_formation","flooded_forest","non_forested_natural","river_lake_ocean","grassland","other_non_vegetated","not_observed","wetland","urban","savannah_formation","rocky_outcrop","glacier"
"63",63,0.757433234597535,0.227173902522612,0,0,0,0,0,0,0,0,0,0,0
"64",64,0,0.938960887062008,0,0,0.026654398635663,0,0,0,0,0,0,0,0
"65",65,0,0.0243714141554649,0.957942269039252,0,0.00446985736083984,0,0,0,0,0,0,0,0
"66",66,0.793464921348597,0.144885708909,0.00732913031005859,0,0.0260826001697887,0,0.00357518695068359,0,0,0,0,0,0
"67",67,0.42504898684563,0.472432400806404,0,0,0,0.0426456749267578,0,0,0.0309593490992691,0,0,0,0
"68",68,0,0.00178175933837891,0.525779250854491,0,0,0,0,0,0.444223533291904,0,0,0,0
"69",69,0.639487172890403,0.310187421309038,0,0,0.020094252875434,0.00404941571599787,0,0,0,0,0,0,0
"70",70,0,0.92734579335587,0.0387992634202274,0,0,0,0,0,0,0,0,0,0
"71",71,0.0802357443596335,0.960118478830658,0,0,0,0,0,0,0,0,0,0,0
"72",72,0,0.186401264948065,0,0.590477026172985,0,0,0.201729490128951,0,0,0,0,0,0
"73",73,0,0.978169189343739,0,0,0,0,0,0,0,0,0,0,0
"74",74,0.0758674176950601,0.795988417979331,0,0,0.0008939716796875,0.0788795251238981,0,0,0.0109364114365739,0,0.0100774953557795,0,0
"75",76,0.0161868663662997,0.937548153359154,0,0.0109522178844105,0,0,0,0,0,0,0,0,0
"76",77,0,0.0766248575429662,0,0,0,0.901939953952206,0.00294474069070255,0,0,0,0,0,0
"77",78,0,0.9706831150697,0,0,0,0,0,0,0,0,0,0,0
"78",79,0,0.966481369164565,0,0,0,0,0,0,0,0,0,0,0
"79",80,0.562093359980086,0.408298146052515,0,0,0,0,0.0199925706409584,0,0,0,0,0,0
"80",81,0.0676872008282286,0.900645215238149,0,0,0,0,0,0,0,0,0,0,0
"81",82,0,0,0,0,0,0.957858775601469,0.0168212663907138,0,0,0,0,0,0
"82",83,0,0.897880931571043,0,0,0,0.0664346982921471,0,0,0,0,0,0.0128189678418926,0
"83",84,0,0.381752194482901,0.600684089973001,0,0,0,0,0,0,0,0,0,0
"84",85,0.171297628725037,0.805530562491535,0,0.00784996942138672,0,0,0.00436098510742187,0,0,0,0,0,0
"85",86,0,0.980911426343254,0,0,0,0,0,0,0,0,0,0,0
"86",87,0.329985161080917,0.0349266840875799,0,0.289053571756128,0,0.303700121657428,0.000829354032628676,0,0,0,0,0,0
"87",88,0,0.869113506893381,0,0,0,0.0955548891601563,0,0,0,0,0,0,0
"88",89,0.908402001502856,0.0702621830305945,0,0,0,0,0,0,0,0,0,0,0
"89",90,0.987631631068437,0.00320316279357801,0,0,0,0,0,0,0,0,0,0,0
"90",91,0.0486223570915018,0.941530111586456,0,0,0,0,0,0,0,0,0,0,0
"91",92,0,0.980864854794728,0,0,0,0,0,0,0,0,0,0,0
"92",93,0,0.981965134286204,0,0,0,0,0,0,0,0,0,0,0
"93",94,0.251808214764437,0.719244739621477,0,0,0,0,0,0,0,0,0,0,0
"94",95,0,0.96766672966165,0,0,0,0,0,0,0,0,0,0,0
"95",96,0,0.97865404459731,0,0,0,0,0,0,0,0,0,0,0
"96",97,0,0.980441176023958,0,0,0,0,0,0,0,0,0,0,0
"97",98,0,0.990834793862015,0,0,0,0,0,0,0,0,0,0,0
"98",99,0.00954785295183858,0.0838679874600497,0,0,0,0.413658982815829,0,0,0.00875334004480698,0,0.455946601356766,0,0
"99",101,0,0.0170969174625172,0,0.00608087884521484,0,0.799910839171384,0,0,0.153277590932787,0,0,0,0
"100",102,0,0.939883735262785,0,0,0.0248035023470792,0,0,0,0,0,0,0,0
