scientificName,year,lon,lat,presence,row_code,species
Bradypus tridactylus,2014,-60.092313,-3.066462,1,80,Bradypus tridactylus
Bradypus tridactylus,2014,-59.986128,-3.097506,1,81,Bradypus tridactylus
Bradypus tridactylus,2013,-55.10353,5.778771,1,82,Bradypus tridactylus
Bradypus tridactylus,2013,-60.043073,-3.100793,1,83,Bradypus tridactylus
Bradypus tridactylus,2013,-54.979606,5.784197,1,84,Bradypus tridactylus
Bradypus tridactylus,2010,-52.59733,3.14268,1,85,Bradypus tridactylus
Bradypus tridactylus,2012,-52.64126,2.37393,1,86,Bradypus tridactylus
Bradypus tridactylus,2011,-53.75812,2.97142,1,87,Bradypus tridactylus
Bradypus tridactylus,2012,-52.14776,3.41463,1,88,Bradypus tridactylus
Bradypus tridactylus,2012,-52.1926,3.2789,1,89,Bradypus tridactylus
Bradypus tridactylus,2011,-52.86589,2.28322,1,90,Bradypus tridactylus
Bradypus tridactylus,2012,-53.04554,2.19256,1,91,Bradypus tridactylus
Bradypus tridactylus,2012,-52.77718,3.09718,1,92,Bradypus tridactylus
Bradypus tridactylus,2011,-52.77605,2.32854,1,93,Bradypus tridactylus
Bradypus tridactylus,2012,-55.196514,4.994331,1,94,Bradypus tridactylus
Bradypus tridactylus,2012,-59.885208,-3.07768,1,95,Bradypus tridactylus
Bradypus tridactylus,2012,-52.37246,3.18823,1,96,Bradypus tridactylus
Bradypus tridactylus,2012,-52.46244,3.1881,1,97,Bradypus tridactylus
Bradypus tridactylus,2012,-55.2167,5.852836,1,98,Bradypus tridactylus
Bradypus tridactylus,2012,-55.211785,5.867049,1,99,Bradypus tridactylus
Bradypus tridactylus,2012,-55.178174,5.817638,1,100,Bradypus tridactylus
Bradypus tridactylus,2011,-53.02298,2.12478,1,101,Bradypus tridactylus
Bradypus tridactylus,2011,-52.19271,3.36935,1,102,Bradypus tridactylus
Bradypus tridactylus,2011,-60.774295,-2.822796,1,103,Bradypus tridactylus
Bradypus tridactylus,2011,-52.64136,2.46436,1,104,Bradypus tridactylus
Bradypus tridactylus,2011,-53.0006,2.19262,1,105,Bradypus tridactylus
Bradypus tridactylus,2011,-52.68621,2.37387,1,106,Bradypus tridactylus
Bradypus tridactylus,2011,-55.197501,5.458773,1,107,Bradypus tridactylus
Bradypus tridactylus,2011,-61.613745,6.750673,1,108,Bradypus tridactylus
Bradypus tridactylus,2011,-52.50742,3.18804,1,109,Bradypus tridactylus
Bradypus tridactylus,2011,-54.08161,3.32002,1,110,Bradypus tridactylus
Bradypus tridactylus,2011,-61.373158,6.204619,1,111,Bradypus tridactylus
Bradypus tridactylus,2011,-61.465279,6.476161,1,112,Bradypus tridactylus
Bradypus tridactylus,2011,-54.21601,3.1841,1,113,Bradypus tridactylus
Bradypus tridactylus,2011,-54.08148,3.27485,1,114,Bradypus tridactylus
Bradypus tridactylus,2011,-52.9566,2.82561,1,115,Bradypus tridactylus
Bradypus tridactylus,2011,-54.17054,3.00358,1,116,Bradypus tridactylus
Bradypus tridactylus,2011,-52.91072,2.19274,1,117,Bradypus tridactylus
Bradypus tridactylus,2011,-52.64231,3.14261,1,118,Bradypus tridactylus
Bradypus tridactylus,2011,-52.79614,2.83866,1,119,Bradypus tridactylus
Bradypus tridactylus,2011,-52.23754,3.23362,1,120,Bradypus tridactylus
Bradypus tridactylus,2011,-52.7311,2.3286,1,121,Bradypus tridactylus
Bradypus tridactylus,2011,-52.59641,2.46442,1,122,Bradypus tridactylus
Bradypus tridactylus,2011,-52.64131,2.41914,1,123,Bradypus tridactylus
Bradypus tridactylus,2011,-54.26347,3.90653,1,124,Bradypus tridactylus
Bradypus tridactylus,2011,-54.12642,3.27471,1,125,Bradypus tridactylus
Bradypus tridactylus,2011,-52.821,2.32849,1,126,Bradypus tridactylus
Bradypus tridactylus,2011,-52.28248,3.18834,1,127,Bradypus tridactylus
Bradypus tridactylus,2011,-53.99302,3.72685,1,128,Bradypus tridactylus
Bradypus tridactylus,2011,-54.17028,2.91325,1,129,Bradypus tridactylus
Bradypus tridactylus,2010,-52.55167,2.64534,1,130,Bradypus tridactylus
Bradypus tridactylus,2010,-52.77703,3.00675,1,131,Bradypus tridactylus
Bradypus tridactylus,2010,-52.55241,3.18797,1,132,Bradypus tridactylus
Bradypus tridactylus,2010,-52.82094,2.28327,1,133,Bradypus tridactylus
Bradypus tridactylus,2010,-52.1477,3.36941,1,134,Bradypus tridactylus
Bradypus tridactylus,2010,-52.91164,2.82568,1,135,Bradypus tridactylus
Bradypus tridactylus,2010,-52.32747,3.18829,1,136,Bradypus tridactylus
Bradypus tridactylus,2010,-53.29342,3.58784,1,137,Bradypus tridactylus
Bradypus tridactylus,2010,-53.58696,5.49016,1,138,Bradypus tridactylus
Bradypus tridactylus,2010,-53.11744,3.76701,1,139,Bradypus tridactylus
Bradypus tridactylus,2010,-54.29629,2.32756,1,140,Bradypus tridactylus
Bradypus tridactylus,2010,-52.13713,4.58023,1,141,Bradypus tridactylus
Bradypus tridactylus,2010,-52.73528,4.0705,1,142,Bradypus tridactylus
Bradypus tridactylus,2010,-53.26107,3.69234,1,143,Bradypus tridactylus
Bradypus tridactylus,2010,-51.82625,4.21051,1,144,Bradypus tridactylus
Bradypus tridactylus,2010,-52.79927,5.24792,1,145,Bradypus tridactylus
Bradypus tridactylus,2009,-61.507764,7.299623,1,146,Bradypus tridactylus
Bradypus tridactylus,2009,-61.852141,8.050598,1,147,Bradypus tridactylus
Bradypus tridactylus,2009,-55.387904,4.385277,1,148,Bradypus tridactylus
Bradypus tridactylus,2009,-53.41397,4.59457,1,149,Bradypus tridactylus
Bradypus tridactylus,2008,-60.785539,7.511745,1,150,Bradypus tridactylus
Bradypus tridactylus,2008,-53.147445,5.022742,1,151,Bradypus tridactylus
Bradypus tridactylus,2008,-52.48225,4.55555,1,152,Bradypus tridactylus
Bradypus tridactylus,2006,-55.188897,4.967813,1,153,Bradypus tridactylus
Bradypus tridactylus,2006,-60.237501,-3.039325,1,154,Bradypus tridactylus
Bradypus tridactylus,2006,-52.312999,4.94701,1,155,Bradypus tridactylus
Bradypus tridactylus,2006,-56.876789,5.966431,1,156,Bradypus tridactylus
Bradypus tridactylus,2003,-58.686283,4.67329,1,157,Bradypus tridactylus
Bradypus tridactylus,2002,-59.966726,-3.092864,1,158,Bradypus tridactylus
Bradypus tridactylus,2002,-52.35937,4.89692,1,159,Bradypus tridactylus
Bradypus tridactylus,2002,-52.497938,4.826002,1,160,Bradypus tridactylus
Bradypus tridactylus,2001,-58.811,3.268,1,161,Bradypus tridactylus
Bradypus tridactylus,1999,-60.003679,-3.076618,1,162,Bradypus tridactylus
Bradypus tridactylus,1997,-52.51849,3.94175,1,163,Bradypus tridactylus
Bradypus tridactylus,1997,-52.19369,4.56617,1,164,Bradypus tridactylus
Bradypus tridactylus,1993,-59.25,3.25,1,165,Bradypus tridactylus
Bradypus tridactylus,1992,-53.085535,5.250754,1,166,Bradypus tridactylus
Bradypus tridactylus,1981,-55.158676,5.404591,1,167,Bradypus tridactylus
Bradypus tridactylus,1973,-72.669722,-7.631111,1,168,Bradypus tridactylus
Bradypus tridactylus,1967,-69.940556,-4.215278,1,169,Bradypus tridactylus
