system:index,bio10_temp_warmest_qt,bio13_precip_wettest_month,cmi_min,presence,row_code,scientificName,year,.geo
00000000000000000075,3012.0,265.93155512533895,-1432.1528925619834,0,118,Nasua nasua,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-50.31814637671005,-9.605134013270359],[-50.30907960292999,-9.605134013270359],[-50.30907960292999,-9.596136876438498],[-50.31814637671005,-9.596136876438498],[-50.31814637671005,-9.605134013270359]]]}"
0000000000000000009a,2986.0,370.9153414408366,-81.46666666666668,0,155,Sciurus spadiceus,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.36748448701448,-0.1929348552961725],[-75.35854465402453,-0.1929348552961725],[-75.35854465402453,-0.18393771844179646],[-75.36748448701448,-0.18393771844179646],[-75.36748448701448,-0.1929348552961725]]]}"
000000000000000000a6,2954.5702479338843,237.91467512146502,-116.38429752066116,0,167,Leontocebus fuscus,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.29711072838113,-6.467732807578693],[-76.28811376057301,-6.467732807578693],[-76.28811376057301,-6.458735670739249],[-76.29711072838113,-6.458735670739249],[-76.29711072838113,-6.467732807578693]]]}"
000000000000000000ca,2879.322314049587,262.77736632291936,-503.198347107438,0,203,Lagothrix flavicauda,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.18522892278354,-8.144336967266089],[-77.17619815586097,-8.144336967266089],[-77.17619815586097,-8.135339830430684],[-77.18522892278354,-8.135339830430684],[-77.18522892278354,-8.144336967266089]]]}"
0000000000000000015b,3013.0,266.52773644313345,-1313.7644628099174,0,348,Nasua nasua,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-50.33474894817031,-9.704736953500937],[-50.32567949381454,-9.704736953500937],[-50.32567949381454,-9.69573981666932],[-50.33474894817031,-9.69573981666932],[-50.33474894817031,-9.704736953500937]]]}"
00000000000000000160,2986.0,373.0627330433239,89.54545454545455,0,353,Galictis vittata,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.68288562064134,-0.18463646823572932],[-75.6739457918174,-0.18463646823572932],[-75.6739457918174,-0.17563933138133364],[-75.68288562064134,-0.17563933138133364],[-75.68288562064134,-0.18463646823572932]]]}"
0000000000000000016e,2881.734439834025,239.08011908946693,-430.34439834024903,0,367,Lagothrix flavicauda,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.90730778215465,-5.670936040340356],[-77.89832409851948,-5.670936040340356],[-77.89832409851948,-5.661938903499005],[-77.90730778215465,-5.661938903499005],[-77.90730778215465,-5.670936040340356]]]}"
000000000000000000bf,2947.4416666666666,372.7767862955729,949.1458333333334,0,192,Micronycteris schmidtorum,2008,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-78.13968865179947,-2.226436545098489],[-78.13074214033375,-2.226436545098489],[-78.13074214033375,-2.217439408248934],[-78.13968865179947,-2.217439408248934],[-78.13968865179947,-2.226436545098489]]]}"
000000000000000000fd,2991.0,202.8608412820785,-1202.1680327868853,0,254,Plecturocebus donacophilus,2008,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-63.166711386518344,-17.94663612179791],[-63.15731461601593,-17.94663612179791],[-63.15731461601593,-17.937638984987046],[-63.166711386518344,-17.937638984987046],[-63.166711386518344,-17.94663612179791]]]}"
0000000000000000006f,2985.995867768595,198.40257981986056,-1000.8925619834711,0,112,Bradypus tridactylus,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-61.85512836301027,8.048964313001898],[-61.846099535439194,8.048964313001898],[-61.846099535439194,8.057961449875929],[-61.85512836301027,8.057961449875929],[-61.85512836301027,8.048964313001898]]]}"
00000000000000000072,2993.0,461.6520004272461,116.53333333333333,0,115,Plecturocebus caquetensis,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.56668643263271,0.8943634273713871],[-75.55774554794773,0.8943634273713871],[-75.55774554794773,0.9033605642283397],[-75.56668643263271,0.9033605642283397],[-75.56668643263271,0.8943634273713871]]]}"
00000000000000000092,2876.539419087137,266.3299235110461,-442.00000000000006,0,147,Lagothrix flavicauda,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.81600794670852,-5.704134047683182],[-77.80702374505346,-5.704134047683182],[-77.80702374505346,-5.69513691084191],[-77.81600794670852,-5.69513691084191],[-77.81600794670852,-5.704134047683182]]]}"
000000000000000000c5,3000.0,540.7058680364205,-1112.6846473029045,0,198,Micronycteris minuta,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.34329823784314,4.903264720249735],[-52.33432555764815,4.903264720249735],[-52.33432555764815,4.9122618571162135],[-52.34329823784314,4.9122618571162135],[-52.34329823784314,4.903264720249735]]]}"
000000000000000000ee,2985.078838174274,333.0679024977308,540.7593360995851,0,239,Choloepus didactylus,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.76188630726179,-1.0976329498255557],[-76.75294489517816,-1.0976329498255557],[-76.75294489517816,-1.0886358129733236],[-76.76188630726179,-1.0886358129733236],[-76.76188630726179,-1.0976329498255557]]]}"
