"scientificName"
"Coniophanes longinquus"
"Erythrolamprus aesculapii"
"Erythrolamprus guentheri"
"Erythrolamprus mimus"
"Ninia hudsoni"
"Pseudoboa coronata"
"Siphlophis cervinus"
"Micrurus ancoralis"
"Trilepida macrolepis"
"Telmatobius peruvianus"
"Ameerega planipaleae"
"Carcharhinus limbatus"
"Galeorhinus galeus"
"Carcharhinus leucas"
"Potamotrygon motoro"
"Rhinella marina"
"Carcharhinus brachyurus"
"Isistius brasiliensis"
"Discopyge tschudii"
"Paleosuchus trigonatus"
"Rhinella arborescandens"
"Hyalinobatrachium bergeri"
"Hyalinobatrachium mondolfii"
"Hyalinobatrachium munozorum"
"Hyloxalus alessandroi"
"Hyloxalus elachyhistus"
"Ameerega trivittata"
"Dendropsophus bifurcus"
"Dendropsophus bokermanni"
"Dendropsophus brevifrons"
"Dendropsophus haraldschultzi"
"Dendropsophus koechlini"
"Pseudis paradoxa"
"Adelophryne adiastola"
"Adenomera andreae"
"Oreobates cruralis"
"Oreobates saxatilis"
"Leptodactylus bolivianus"
"Leptodactylus didymus"
"Leptodactylus griseigularis"
"Leptodactylus labrosus"
"Ctenophryne carpish"
"Oreobates pereger"
"Noblella usurpator"
"Phyllonastes lochites"
"Telmatobius brevipes"
"Telmatobius brevirostris"
"Telmatobius carrillae"
"Telmatobius degener"
"Telmatobius hockingi"
"Telmatobius ignavus"
"Telmatobius intermedius"
"Telmatobius latirostris"
"Telmatobius mayoloi"
"Telmatobius necopinus"
"Telmatobius thompsoni"
"Telmatobius truebae"
"Leptodactylus discodactylus"
"Chiasmocleis carvalhoi"
"Chiasmocleis tridactyla"
"Bolitoglossa altamazonica"
"Bolitoglossa digitigrada"
"Bolitoglossa peruviana"
"Sphyrna media"
"Zameus squamulosus"
"Etmopterus bigelowi"
"Poecilia reticulata"
"Ctenopharyngodon idella"
"Drymarchon corais"
"Callorhinchus callorynchus"
"Drymarchon melanurus"
"Sylviocarcinus maldonadoensis"
"Fredilocarcinus raddai"
"Zilchiopsis cryptodus"
"Hypolobocera gracilignatha"
"Goyazana rotundicauda"
"Hypolobocera peruviana"
"Rotundovaldivia latidens"
"Dilocarcinus pagei"
"Sylviocarcinus pictus"
"Moreirocarcinus emarginatus"
"Dilocarcinus septemdentatus"
"Sylviocarcinus devillei"
"Strengeriana villaensis"
"Valdivia cururuensis"
"Poppiana bulbifer"
"Fredilocarcinus musmuschiae"
"Trichodactylus faxoni"
"Hypolobocera lamercedes"
"Hypolobocera ucayalensis"
"Hypolobocera chilensis"
"Moreirocarcinus chacei"
"Poppiana dentata"
"Hypolobocera dantae"
"Valdivia serrata"
"Fredius reflexifrons"
"Atherinella serrivomer"
"Brama dussumieri"
"Chaenophryne longiceps"
"Xanthichthys mento"
"Caulolatilus hubbsi"
"Halichoeres notospilus"
"Trachinotus rhodopus"
"Talismania bifurcata"
"Caulolatilus affinis"
"Antimora microlepis"
"Mecistogaster ornata"
"Neuraeschna titania"
"Erythrodiplax cleopatra"
"Micrathyria tibialis"
"Phyllocycla malkini"
"Micrathyria catenata"
"Neoneura bilinearis"
"Nephepeltia leonardina"
"Telebasis obsoleta"
"Progomphus incurvatus"
"Erythemis haematogastra"
"Gynothemis pumila"
"Oligoclada abbreviata"
"Lestes curvatus"
"Planiplax arachne"
"Micrathyria hippolyte"
"Polythore terminata"
"Chalcopteryx rutilans"
"Perithemis lais"
"Argia inculta"
"Orthemis regalis"
"Rhodopygia hollandi"
"Oligoclada monosticha"
"Micrathyria atra"
"Nephepeltia phryne"
"Epipleoneura lamina"
"Perithemis cornelia"
"Erythrodiplax juliana"
"Orthemis biolleyi"
"Polythore aurora"
"Perithemis rubita"
"Progomphus pygmaeus"
"Triacanthagyna obscuripennis"
"Hetaerina curvicauda"
"Neuraeschna harpya"
"Rhodopygia cardinalis"
"Macrothemis lauriana"
"Telebasis racenisi"
"Perilestes kahli"
"Philogenia cassandra"
"Lestes helix"
"Heteragrion majus"
"Argyrothemis argentea"
"Macrothemis hemichlora"
"Perilestes attenuatus"
"Progomphus phyllochromus"
"Acanthagrion chacoense"
"Perithemis parzefalli"
"Telebasis livida"
"Gomphomacromia fallax"
"Fylgia amazonica"
"Micrathyria caerulistyla"
"Argia nigrior"
"Platystigma buckleyi"
"Cannaphila vibex"
"Protoneura tenuis"
"Micrathyria artemis"
"Diastatops pullata"
"Erythemis carmelita"
"Micrathyria spinifera"
"Aphylla theodorina"
"Argia huanacina"
"Perilestes gracillimus"
"Perithemis electra"
"Rhionaeschna planaltica"
"Telebasis rubricauda"
"Perissolestes cornutus"
"Oxyagrion miniopsis"
"Zenithoptera fasciata"
"Bartlettia stefanensis"
"Johnrandallia nigrirostris"
"Chaetodon humeralis"
"Holacanthus passer"
"Pomacanthus zonipectus"
"Characidium purpuratum"
"Orestias ctenolepis"
"Basilichthys semotilus"
"Orestias pentlandii"
"Orestias olivaceus"
"Odontesthes regia"
"Hemiodus amazonum"
"Lobodeuterodon euspilurus"
"Amblydoras monitor"
"Orestias silustani"
"Evibacus princeps"
"Panulirus gracilis"
"Nephropsis occidentalis"
"Lobotes pacificus"
"Psenes sio"
"Pristigenys serrula"
"Sphyraena ensis"
"Sphyraena idiastes"
"Albula esuncula"
"Cynoponticus coniceps"
"Centropomus unionensis"
"Chaetodipterus zonatus"
"Parapsettus panamensis"
"Diplectrum pacificum"
"Hypsoblennius paytensis"
"Genyatremus pacifici"
"Eucinostomus dowii"
"Selene peruviana"
"Kyphosus analogus"
"Synchiropus atrilabiatus"
"Diplectrum labarum"
"Eugerres lineatus"
"Ariosoma prorigerum"
"Diplectrum maximum"
"Chromis crusma"
"Schedophilus haedrichi"
"Anisotremus scapularis"
"Scartichthys viridis"
"Hemanthias signifer"
"Paralabrax callaensis"
"Synodus lacertinus"
"Atherinella nocturna"
"Scartichthys gigas"
"Sphoeroides lobatus"
"Pontinus furcirhinus"
"Pronotogrammus multifasciatus"
"Atherinella pachylepis"
"Hirundichthys marginatus"
"Gymnothorax angusticeps"
"Conodon macrops"
"Caranx vinctus"
"Seriolella violacea"
"Paraconger californiensis"
"Pseudobalistes naufragium"
"Diplectrum euryplectrum"
"Lutjanus novemfasciatus"
"Caranx caninus"
"Semicossyphus darwini"
"Microlepidotus brevipinnis"
"Xenistius californiensis"
"Lutjanus peru"
"Lile stolifera"
"Peprilus medius"
