row_code,farming,flooded_forest,grassland,other_non_vegetated,urban,wetland,forest_formation,river_lake_ocean,not_observed,mangrove,non_forested_natural,savannah_formation,rocky_outcrop,mining
69,0,0,0.010699026,0,0,0,0.958740044,0,0,0,0,0,0,0
70,0.058385334,0.757760415,0,0,0,0.106447589,0,0,0,0.056164937,0,0,0,0
71,0.00821764,0.938369612,0,0,0,0.038245473,0,0,0,0,0,0,0,0
72,0.082262473,0.363900994,0.007123985,0,0,0.02541489,0.492343893,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0.970399208,0,0,0,0,0,0,0
74,0,0.142168025,0,0,0,0,0.836604311,0,0,0,0,0,0,0
75,0.052985946,0.126175969,0,0.004454202,0.043246186,0.003527012,0.512778159,0.229526202,0,0,0,0,0,0
76,0,0,0,0,0,0,0.971387404,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0.074657252,0.915567836,0,0,0,0,0,0
78,0.063548321,0,0,0,0.173601425,0.008034831,0.718752862,0.008278349,0,0,0,0,0,0
79,0.085051398,0.395585217,0.028498877,0.005788831,0.050682642,0,0.25244313,0.195201775,0,0,0,0,0,0
80,0.015825692,0,0.017367684,0,0.41584969,0,0.4529383,0.070200775,0,0,0,0,0,0
81,0.026862303,0,0.00722278,0,0.691573547,0.006735845,0.23802721,0,0,0,0,0,0,0
82,0.030886535,0.934181662,0,0,0,0.03922119,0,0,0,0,0,0,0,0
83,0.004166448,0,0,0,0.520555292,0,0.455470391,0,0,0,0,0,0,0
84,0.215497932,0.699639512,0,0.013343108,0.013899069,0.015381519,0.045576316,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0.967377447,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0.979486184,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0.983703321,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0.978670592,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0.981838191,0.008715459,0,0,0,0,0,0
90,0,0,0,0,0,0,0.965741897,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0.984171294,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0.972154829,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0.972756449,0,0,0,0,0,0,0
94,0,0,0.006729486,0,0,0,0.970634771,0,0,0,0,0,0,0
95,0.071088656,0,0.018357588,0,0.673788374,0.050104967,0.037470129,0.139342907,0,0,0,0,0,0
96,0,0,0,0,0,0,0.965949858,0,0,0,0,0,0,0
97,0,0,0,0.008926271,0,0,0.901993805,0.078007853,0,0,0,0,0,0
98,0.515466569,0.196920542,0,0.05093516,0.10359332,0.053952172,0,0.055052254,0,0,0,0,0,0
99,0.152332342,0.751315056,0,0,0,0.045360066,0.019567281,0,0,0,0,0,0,0
100,0.060806439,0,0.013787238,0.19387989,0.715992065,0.004336306,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0.970690699,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0.965202148,0,0,0,0,0,0,0
103,0.043880111,0,0.017107288,0,0,0.019076028,0.24806588,0.652054952,0,0,0,0,0,0
104,0,0,0,0,0,0,0.972200177,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0.983354988,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0.977580052,0.003180602,0,0,0,0,0,0
107,0.086090068,0.11845459,0.107855146,0.310943445,0.253092545,0.010680352,0.082125075,0,0,0,0,0,0,0
108,0.332592247,0,0.046209666,0,0,0,0.600002013,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0.91687924,0.055077729,0,0,0,0,0,0
